대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
남성역3번출구 뒤,2060,10205792.72,4448,91159
남영역 건너편,835,10172969.78,5583,96017
남위례1,5770,1357274.84,672,12020
남태령역 2번출구,2289,2124677.48,649,14172
내곡3단지 어린이공원 앞,2205,8773356.77,4172,72066
내곡도서관,4323,3536539.99,1441,30597
내곡파출소 뒤 정자,2207,2471304.03,858,17032
내방역 8번출구 앞,2271,12144033.16,4547,118074
넥센 유니버시티 앞,2729,10656790.18,4596,85021
"노들섬 다목적홀(동쪽) 숲, 앞",4605,11153636.84,2563,83608
노들섬 동측 앞,869,8561396.74,1990,63838
노들섬 서측 앞,870,14161103.95,3258,112959
노들역 1번출구,2002,13903021.12,2689,109544
노들역 3번출구,2077,17255668.64,3642,120166
노량진1동 청소년독서실,4162,5838343.29,2764,50599
노량진근린공원,4158,3288414.07,1760,33560
노량진근린공원 대방공원,2008,6124300.11,3104,50905
노량진역 2번 출구 앞,2070,12158066.62,3365,102334
노량진역 5번출구,2050,11972286.48,4490,108965
노보텔 앰배서더 앞,4909,4109525.44,1532,38227
노원 마들스타디움,4016,13883202.88,4752,117535
노원 을지대학교 병원,4007,12615827.23,6158,116385
노원경찰서교차로,1670,12224295.74,6486,111669
노원구청,1657,10187488.74,3916,89821
노원문화예술회관,1683,15529825.78,7281,130364
노원성당 앞,5322,8445087.04,3717,73992
노원소방서인근,1666,12748360.13,5375,96756
노원역1번출구,1653,11611735.27,5584,112081
노원역7번출구,1662,13962091.23,5520,124475
노원정보도서관,1691,13356952.81,6570,127320
노일초등학교 앞,1628,13289157.22,4902,106772
노해근린공원내,1664,4230758.82,1990,39005
녹번 힐스테이트상가앞,978,3819656.09,1584,31940
녹번역 3번출구,917,12179350.82,6072,106513
녹번역1번출구앞,4658,7001029.76,3139,59573
녹번역e편한세상 캐슬 정문 앞,4674,10682954.04,4302,84996
녹번초등학교(서오릉로),982,9228022.07,5164,95008
녹사평역1번출구,811,7633201.78,3366,58046
녹사평역3번 출구,858,5057093.64,1797,40210
녹천교 앞 사거리,4090,15221463.97,5176,120734
녹천역 1번출구 앞,1702,8751787.97,4522,79978
녹천역 4번 출구 옆,4033,7719165.83,3216,65863
논골사거리(금호도서관 입구),3531,4528384.96,1627,35198
논현동 광명빌딩 앞,2406,7686600.01,2106,64422
논현동가구거리,4924,4413611.78,1958,45816
논현역 10번출구,2303,12048303.63,4511,104455
농수산식품공사 (강서지사),1181,4472251.53,2022,33131
농협생명본사빌딩 서관,4275,7647115.73,4070,73588
누리꿈스퀘어 옆,409,9507702.1,3987,88421
뉴코아 킴스클럽 앞,2523,14880923.78,5208,121228
늘푸른공원 앞,1437,10864085.31,4296,87062
능골근린공원,1057,7789201.35,3821,83240
능산삼거리,1435,5350511.74,2480,38532
능안마을입구,2287,667256.42,224,4686
다락원체육공원 전망대 입구,4058,15665671.65,2940,102217
다성이즈빌아파트(호원대 대각선 맞은편),1019,11145381.29,6225,103663
달맞이공원,556,2637018.58,617,18780
답십리 래미안엘파인아파트 입구,652,11563159.93,4182,86397
답십리역 1번출구,631,10393872.25,4337,90260
답십리역 6번출구,4392,4942259.19,2263,50473
답십리역 8번출구 앞,538,12072587.86,4270,105577
답십리파크자이아파트 앞,4108,12760102.56,4896,110289
당고개공원 대여소,1634,7945908.06,3138,67883
당고개역 3번 출구,4014,12247642.12,4551,92427
당고개역 앞,5315,5092956.13,2133,38652
당고개입구 오거리,1654,12822219.16,5383,103925
당고개입구오거리 당현천변,4004,17229280.38,6383,126519
당곡사거리,2173,11326019.2,3916,102436
당산skv1센터,3201,10810318.08,5628,106512
당산롯데캐슬프레스티지,3202,10835169.84,5429,108805
당산삼성2차아파트,4553,10209845.86,5251,104975
당산역 10번출구 앞,247,13565627.35,5162,121557
당산역11번출구,5862,10836745.5,5734,107999
당산육갑문,272,11798971.88,2386,91086
당인리발전소 공원 앞,4244,11627310.82,2792,98852
당현천근린공원,1661,14032793.52,5861,112642
대광고등학교,672,12611510.7,5592,108278
대광빌딩,671,8239754.12,4882,82952
대륜E&S 서울지사 앞,5305,9965632.81,4162,85045
대륭테크노타운 18차,1859,11498757.01,3807,75527
대륭테크노타운21차 앞,3956,15454259.01,4203,108288
대륭포스트타워1차,2801,11024936.58,3871,92232
대륭포스트타워5차,1849,6977461.3100000005,3574,62747
대륭포스트타워6차 앞,1867,10231377.91,5460,95301
대림3동사거리,289,11263081.61,5978,104069
대림경동아파트앞,1120,12149589.61,5621,106670
대림동 e편한세상영등포아델포레,4575,10133136.92,5298,105019
대림동현대2차 201동 앞,5852,2806995.6999999997,1669,22997
대림사거리(동작상떼빌아파트),2012,13903883.73,7046,119916
대림성원상떼빌아파트,4566,10367028.22,5359,93637
대림신동아아파트 앞,281,14145194.03,4898,105617
대림아크로리버 앞,552,11237553.46,4011,95694
대림아파트 사거리,250,8015417.05,3817,67125
대림아파트 후문 상가 옆,2071,6291518.47,4168,44581
대림역 1번 출입구 밑,1975,13076279.09,4906,109908
대림역4번출구,1914,12392725.1,4417,99769
대림우성2차아파트,4555,7770279.06,4063,68560
대림우성아파트 사거리,4599,8130952.63,3565,76115
대명초교입구 사거리,1074,12535188.76,6071,111008
대모산입구역 2번출구 앞,2337,11512502.31,3344,88511
대모산입구역 4번 출구 앞,2404,17289972.84,4878,135303
대모산입구역 7번 출구 앞,3624,5635035.42,1820,46103
대방역2번출구,4175,10965066.03,5295,100460
대방역6번출구,259,13428888.82,4416,110240
대방지하보도(대방동경남아너스빌아파트),2080,14214725.1,5258,122018
대상연구소,5090,9128015.12,4469,69270
대성유니드아파트,4520,11619280.209999999,5826,100726
대신파이낸스센터,4778,9656170.21,4381,91866
대영중고 후문,4558,11733362.17,5943,113403
대원빌딩,3767,13847625.08,6334,117163
대원중고교 입구(대하빌딩),575,9114196.36,3853,87431
대진고교앞 교차로,5326,7201048.25,3873,65239
대진고등학교,2912,12089953.959999999,5786,108430
대청역,3641,10921676.45,5252,96804
대청역 1번출구  뒤,2342,15229951.47,5395,126458
대치동 삼성로,2326,7448487.11,3260,74131
대치삼성아파트 앞 교차로,2325,10742588.22,4492,107177
대치역 7번출구,2431,14999562.81,5533,131025
대치역 사거리,2372,15682667.62,4913,133144
대치우성아파트 사거리,4926,11270911.24,3574,94267
대학동 고시촌,2185,10821457.83,3136,82647
대학동주민센터,2191,12202219.040000001,3359,93707
대학로 마로니에공원,342,11316454.709999999,4998,108467
대한무역투자진흥공사 KOTRA 앞,2539,9935088.83,4058,82533
대한상공회의소,445,12926090.88,5269,122285
대한항공 인력개발센터,1175,10103766.92,5736,89843
대현그린타워,2304,7067257.16,2366,52348
대호프라자아파트,963,9894242.66,5524,93969
대흥역 1번출구,437,9897939.83,4567,96336
더라움,2398,4443520.87,2038,36964
더리브골드타워,3793,9717086.08,5183,89127
더리브오피스텔 앞,5865,11369902.18,4107,98727
더스페이스타워 앞,4381,11623120.72,3210,88082
더시그넘하우스 앞,3643,10071366.11,3844,78744
더케이호텔 입구(양재2),2251,11935797.49,4984,97034
도곡1동 주민센터 교차로,2360,8313125.6,3905,78608
도곡동 경남아파트 건너편,2368,6736814.87,3087,58377
도곡동 골프 로데오거리,4911,6044276.61,2830,52536
도곡역 1번 출구,2413,16705421.98,5125,141082
도곡역 대치지구대 방향,2320,11703100.53,4047,105911
도곡역 아카데미스위트 앞,2414,14097056.03,5079,117511
도깨비시장,2910,13192693.06,6113,119642
도동삼거리,484,1703569.18,615,14995
도림고가도로 밑,3204,10211106.97,5394,85135
도림동배드민턴체육관,3203,10913401.36,5467,96022
도림사거리,255,13375120.89,7230,129125
도림신협 앞,254,10808768.71,5920,99869
도림천 건널목 위,5851,16237466.23,5151,118571
도림천 신화교,2107,8308432.34,1393,53411
도림천역 1번 출구 앞,1904,12979622.36,4867,108182
도봉경찰서 교차로,4092,16417830.6,5761,125629
도봉고등학교 맞은편,1731,4756588.78,1529,35902
도봉구민회관,1707,12836416.67,7020,120572
도봉구육아종합지원센터(창동),4074,4616027.91,1987,38372
도봉구청 옆(중랑천변),1720,20568134.78,4844,142165
도봉구청 정문앞,1705,12572955.56,5144,113128
도봉동실내스포츠센터,4084,10084766.52,4372,78713
도봉로 534,4086,4842173.45,2430,43983
도봉문화정보도서관 삼거리,1714,3367929.06,2025,30092
도봉보건소사거리,1708,15039467.72,8127,123471
도봉산광역환승센터앞,1703,7107140.49,1933,53218
도봉산역 교차로 앞,1730,5366500.17,1744,41981
도봉세무서 앞,1560,11073658.13,5001,105861
도봉소방서 옆,1744,13153482.78,6711,122494
도봉아이나라도서관 앞,4083,12950872.37,6453,106416
도봉여성센터,4094,4150752.79,1935,35752
"도봉역 1,2번 출구사이 건너편",1735,12319664.77,5279,106350
도봉운전면허시험장 버스정류장 옆,1690,15239837.54,7112,135031
도봉제1교,4077,23352134.87,4055,145366
도봉통합복지센터 뒤 중랑천 변,4076,22530794.06,4456,143135
도봉한신아파트 버스정류장,1729,13389124.31,5640,113082
도봉한신아파트 주변,1770,12717174.49,4384,101031
도산공원교차로,2364,10518732.87,3268,81830
도선동 주민센터 앞,557,13374653.15,6070,110141
도심공항타워 앞,4914,12337460.22,3437,107226
도원맨션,2190,6146450.61,3661,58376
독립문 앞,3113,11829588.63,4370,101467
독립문역 2번출구 뒤,3426,3808067.0,1662,29801
독립문역 3-1번출구,367,12823181.92,5813,104903
독립문역 사거리,348,13025075.02,5939,100550
독바위역,946,9279996.56,4215,77600
독산2동주민센터 앞,3973,4671378.16,2288,39958
독산3동주민센터 앞,1870,9900352.55,4808,85188
독산고등학교,1843,5958090.16,3210,55278
독산근린공원 입구,1824,15736705.28,3760,117915
독산동 현대홈타운 금천과선교 앞,3968,6527246.74,3175,50637
독산보도육교 앞 자전거 보관소,1827,20535434.43,3291,133919
독산역 1번출구 A,1833,9793358.99,5993,89806
독산역 2번출구 자전거주차장,1804,14523111.13,5456,107823
독산역 롯데캐슬 104동 앞,3969,7682426.76,3791,62049
독산역1번출구 B,3966,10611652.02,6614,83199
독산주공 14단지 버스정류소,1847,4995427.37,1526,38393
돈암삼성풍림아파트,1392,3558028.06,1611,30882
돈암성당 옆,1337,15629849.1,4601,118789
돈암육교 하단,1393,4280923.35,1910,33288
돈암초교 입구,1303,9980892.98,5261,85537
돈암초교입구 버스정류장(한성대입구역 방면),1388,9467356.06,4533,78780
돈의문 박물관 마을,4715,5768794.94,2857,51272
돌곶이역 앞,4408,12035898.25,6097,109726
동대문 종합시장 버스정류장,452,7702056.18,3917,79129
동대문경찰서 교차로,640,12542697.31,5248,107922
동대문구 보건소,630,9979107.42,4736,90463
동대문구민체육센터 (육교아래),643,14899671.59,3889,118503
동대문디자인플라자,4765,12519246.86,4885,117826
동대문롯데캐슬아파트 앞,657,12165188.86,5374,107951
동대문역 8번 출구,393,9990045.29,4186,105804
동대문역6번출구,3415,11555385.29,4807,106200
동대문역사문화공원역 1번출구 뒤편,474,11428646.92,4369,112753
동대문역사문화공원역 5번출구,4793,9213046.7,4533,104589
동대문역사문화공원역 9번출구 앞,347,10146201.5,4416,98576
동대문중 교차로,610,12140708.27,6064,102848
동대입구역 3번 출구,479,7313030.5,3024,64831
동대입구역 6번출구 뒤,371,9218877.4,3604,88666
동명근린공원 진입로 (아리수로),1053,5501521.38,2507,57304
동묘앞역 1번출구 뒤,361,10795858.91,4978,105525
동묘앞역 6번출구,3416,10393448.35,4531,99899
동문굿모닝탑,4515,11480987.86,6592,106593
동방1교,2183,15905499.73,3125,106774
동부센트레빌 앞,4089,13042867.59,6297,116247
동부시장 북문 앞,1462,12770926.6,6417,118986
동빙고근린공원,4639,14777005.29,3265,116942
동산어린이공원 앞,4411,10663421.37,5977,93446
동서울농협 앞,4804,11087734.97,5814,100823
동서울우편집중국 앞,3873,9188877.99,4772,89007
동선고가차도 초입,1386,7915414.33,2883,63386
동선아파트 앞,3915,2688949.16,1420,22117
"동성1,2차 아파트 앞",4809,15757442.58,6682,114900
동성중학교 앞,388,6971129.8,3718,57704
동신병원 맞은편,3128,17931318.23,4879,135977
동신아파트 104동 앞,2743,1888068.05,922,14757
동신아파트 후문 옆,5306,14006071.16,6237,116812
동아1차APT105동 버스정류장(신도림중학교 방면),1956,14166008.41,7015,126186
동아에코빌입구,256,11242983.42,6405,96904
동양미래대학교 정문 옆,1925,15796777.34,4831,119206
동양쇼핑 정류소 앞,1471,14665442.51,6479,131615
동양엔파트 앞,1461,13487020.16,6311,119340
동영문화센터앞,2331,8114804.2700000005,3703,77663
동원베네스트 건너편,4617,3472498.3,1248,29995
동원베네스트 건물 앞,1436,6558686.28,2995,49337
동원사거리,1457,7806460.46,4016,73520
동원사거리 행복오피스텔 앞,4838,6717269.08,3508,68687
동의보감타워,660,11388758.6,4845,107883
동인오피스텔 건너편 소공원,1968,6086913.4,3160,51739
동일로 지하차도,1404,9519326.709999999,5740,89957
동일로58길 입구,3863,8007854.93,4352,65886
동작경찰서,2058,11598928.87,3490,99806
동작구민 체육센터,2056,12906990.62,6447,103291
동작역 5번출구 동작주차공원,2037,12835733.83,1912,95796
동작역 7번출구,2038,6256231.99,1957,53077
동해문화예술관앞,1663,14655281.3,5481,115182
두산건설 본사,2347,4906068.98,1555,40469
두산대림아파트 삼거리,1466,10732668.48,3753,74501
두산위브아파트,4573,6683634.74,3886,64975
두산위브아파트 옆 상가건물 앞,1814,10031815.64,6342,90808
두상빌딩 앞,2294,11766179.31,4304,100599
둔촌 주공 GS 맞은편,1018,9545340.92,5314,88801
둔촌고교입구 교차로(길동주민센터 방면),1017,10855317.18,4942,100098
둔촌동역교차로,3671,12752221.78,6588,121304
둔촌사거리,1078,12799258.79,6382,121303
둔촌신성미소지움아파트,3655,11180439.02,5110,88338
둔촌어린이공원,1048,805196.43,444,7933
둔촌역 2번출구,3691,8383933.92,4568,79432
둔촌역 3번 출입구,1050,11070572.97,5877,108685
둔촌오륜역 1번 출구,3692,5157814.69,2697,43084
둔촌오륜역 2번출구,4888,6327846.16,2726,61113
둔촌푸르지오아파트,3656,11547587.52,6057,111278
뒷벌공원 옆,2228,11064655.86,5873,111738
드래곤타워 앞,3707,10638234.88,5447,96370
등나무 근린공원(시립북서울미술관 앞),2919,11286452.3,5181,113330
등촌1-10단지 교차로,2721,11571640.2,6868,101307
등촌2동주민센터,1137,5818174.2299999995,2834,52392
등촌2파출소,1136,9691676.9,5056,82408
등촌5단지아파트 버스정류장,1117,10354040.68,5903,96279
등촌9단지,1185,11065390.11,5513,103489
등촌서광아파트,3780,11491895.49,5489,100589
등촌역 1번출구,5075,11395580.42,5354,94918
등촌역 4번 출구,774,8781576.93,4132,78326
등촌역 5번 출구 뒤,742,11212082.74,5433,101397
등촌역 7번출구,1132,15000603.33,6481,122936
등촌역 센터스퀘어,5088,11296564.1,4927,99678
등촌태영아파트,3763,10873714.83,4892,92952
디지털매직스페이스,4218,9151690.37,4588,87097
디지털미디어 시티역 4번출구(DMC역),948,9862574.06,5188,91238
디지털입구 교차로,1955,11866142.3,5217,110994
디폴리스 지식산업센터,3985,16051013.53,3763,104766
뚝도아리수정수센터 버스정류소 옆,510,12942291.94,2847,117881
뚝섬 유원지역,588,13857441.14,4533,121175
뚝섬역 1번 출구 옆,512,11489538.8,3430,104179
뚝섬역 5번 출구 정류소 옆,513,8290323.100000001,3862,83172
뚝섬역 6번출구,3548,9482359.78,4121,102750
라이품 공영주차장 앞,2710,13597985.0,5916,104925
라인프랜즈이태원점 앞,4623,3060558.75,1002,26636
라코지스테이 앞,4807,6667191.95,3350,55588
래미안 강동팰리스(102동),1059,9608385.48,4394,91187
래미안 구의파크 스위트,3542,12890713.88,7047,106389
래미안 루센티아 아파트 108동 앞,4255,12245974.12,5055,103562
래미안 솔베뉴(고덕로),1085,11111811.72,5951,102665
래미안 솔베뉴(구천면로),1086,8580295.99,4310,83268
래미안강남힐즈 사거리,2387,12730448.59,5041,98114
래미안그레이튼102동앞,2350,3373449.28,1441,32900
래미안금호하이리버 아파트 102동 옆,524,9491926.86,2459,66567
래미안라센트아파트 103동 앞,1322,11774650.48,5376,100998
래미안신공덕3차아파트,3003,1219832.97,558,10160
래미안에스티움 앞 (신풍로),3220,9170327.99,4894,85283
래미안월곡아파트 입구,1382,13910159.52,6610,109224
래미안장위퍼스트하이(513동),1396,16337914.73,5675,131860
래미안장위포레카운티(102동),1395,14681401.65,4926,110910
래미안허브리츠아파트 앞,4133,8694614.32,3826,81169
레베쌍트 빌딩 앞,4913,9157063.49,2823,78800
레이크펠리스101동앞,2646,12315333.06,5955,126549
로고스교회 맞은 편,2229,6558508.15,2873,64310
로제우스 레포츠센터,3431,4801037.37,1440,32041
로프트시티오피스텔,5868,9295511.95,3880,90822
롯데 R&D 센터,2716,6445113.03,4035,48824
롯데리아 개포점앞,2428,5562439.2700000005,2134,46495
롯데시티호텔,4785,6054146.58,2775,58376
롯데월드타워(잠실역2번출구 쪽),1210,10018156.17,4265,93481
롯데중앙연구소,1188,4929481.67,2917,43556
롯데캐슬 101동 앞,4177,4221272.31,1565,34328
롯데캐슬 115동앞,1006,2162224.72,1044,19743
롯데캐슬 앞,224,11315264.79,4495,113995
롯데캐슬2차 마을버스 정류장(18804) 뒤편,3958,6470664.8,3019,50137
롯데캐슬골드파크1차 동문,1846,10428409.31,6337,83231
롯데캐슬골드파크1차 서문,1845,8730538.93,4140,61154
롯데캐슬골드파크3차 301동 앞,1869,9645967.49,5982,90320
롯데캐슬시그니처아파트 앞,5328,1423777.58,698,12893
롯데캐슬엠파이어 옆,219,10582814.88,4014,102646
롯데캐슬클라시아 입구 앞,4421,2763497.62,1108,22874
롯데하이마트 (상암월드컵점),424,9121500.0,3251,74470
롯데호텔,466,8006327.59,3280,76709
르네상스 호텔 사거리 역삼지하보도 7번출구 앞,2328,8500077.71,3292,75952
르네상스호텔사거리 역삼지하보도 2번출구,2329,7415846.81,3305,68536
르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),2357,6919109.07,2882,60506
르노삼성자동차 성수사업소 앞,4360,10308114.91,5063,83393
리버뷰신안인스빌1차 후문,4556,11559051.83,7022,98978
리버뷰신안인스빌2차 후문,4557,12739382.96,5586,105355
리센츠아파트,1269,10598278.28,4651,103765
리싸이클시티,1052,558879.87,318,5446
리엔파크 2단지 앞,2344,8391812.79,3011,69258
마곡 MICE 복합단지,5062,12932641.8,11361,110306
마곡 공공청사,2735,8246877.2,7275,81365
마곡 엠밸리2단지,2702,10946868.52,7898,110597
마곡 필네이처,2723,11929515.99,6717,109558
마곡13단지,1184,13498971.82,7782,113903
마곡13단지 정문 앞,2733,10084723.68,8247,93062
마곡13단지힐스테이트마스터 후문(1320동 앞),5070,9119757.72,6558,78481
마곡14단지 1408동앞,3785,12472178.47,9041,112187
마곡9단지 907동앞,3762,7981599.06,7053,85931
마곡9단지 910동 상가앞,3774,10819597.43,8242,95730
마곡금호어울림아파트,3783,16686331.81,6386,115100
마곡나루역 2번 출구,2715,9825274.83,5896,88528
마곡나루역 3번 출구,2728,12576205.3,7965,111133
마곡나루역 5번출구 뒤편,2701,11462520.91,8931,99408
마곡레포츠센터,2740,10907535.53,5382,88180
마곡메가박스 앞,2730,14227087.55,8615,131896
마곡문화공원,2719,10863353.02,6667,99673
마곡센트럴타워 1차,1193,13054683.71,8111,121948
마곡수명산 1-2단지,2732,13146278.97,10944,118156
마곡수명산파크 209동 건너편,1192,13806577.55,11717,124075
마곡수명산파크1단지,2718,12878318.95,10666,120179
마곡수명산파크3단지 교차로,1167,10525594.41,8159,94576
마곡수명산파크5-6단지,2741,13332003.38,8633,114720
마곡수명산파크7단지 710동 앞,3797,8778186.21,4354,69696
마곡엠밸리 15단지(1502동) 건너편,1180,9834948.23,7246,92284
마곡엠밸리10단지 앞,1168,13214454.91,10292,114383
"마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",5074,9947153.42,7423,94375
마곡엠밸리4단지 정문,1112,12509857.34,7319,111540
마곡엠밸리6_7단지 마곡중학교,1111,11104547.0,7495,106655
마곡역 7번출구,5052,10388970.96,8921,97465
마곡역 교차로(2번출구),1190,10017647.43,9177,85259
"마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",1191,12449664.54,8797,110915
마곡역1번출구,1151,11138020.0,12750,108560
"마곡역4,5번출구",5056,5282756.99,3660,49219
마곡역4번출구,5057,11450370.48,7987,102021
마곡역5번출구앞,5055,10829642.0,8933,96701
마곡역교차로,1152,10601521.42,8649,98036
마곡중학교 후문,1165,8730079.37,7038,92101
마곡힐스테이트 정문,3756,10562055.46,8659,105363
마들역 3번출구,1689,13098810.99,6670,128081
마들역 7번출구,1688,12137772.71,6483,114955
마스타 빌딩 앞,115,8404739.62,3603,81803
마장동 금호어울림APT앞,3558,9061773.97,4397,73121
마장동 주민센터,586,11280272.71,4769,89823
마장역 4번출구,579,12737455.68,5104,109105
마장역3번출구,3553,8917275.71,4078,82470
마천금호어울림 1차 102동앞,4473,3881423.24,1554,32776
마천금호어울림 1차아파트 건너편,1279,4066602.75,1814,34756
마천동 성내천 쉼터,2642,15021022.32,4348,110974
마천사거리,1228,17041743.63,4945,120955
마천사거리 2,4493,8587600.95,3151,66024
마천사거리3,5772,806249.48,365,7451
마천역 1번 출구 인근②,4889,8851759.34,3629,70315
마천중앙시장,1207,10764062.79,3458,89084
마천청소년센터,4879,4301316.63,1544,38347
마포 신수공원 앞,185,18570231.02,4645,133199
마포구 육아종합지원센터,407,8648566.29,4543,81598
마포구중앙도서관 정문 앞,4213,11886603.44,4460,111210
마포구청 앞,421,11669907.51,3897,103943
마포구청 청사내,3005,4517875.7,1901,48152
마포구청역,154,10254526.23,3719,96298
마포소방서 앞,121,12246891.46,4477,101389
마포아트센터 앞,5503,10770994.94,5837,91877
마포역 2번출구 뒤,146,14293363.38,3035,110533
마포역 4번출구 뒤,147,14475217.18,3415,114620
마포중앙도서관,432,4949335.66,2245,56992
마포프레스티지자이 1,4226,10608514.09,5238,88769
만해공원,1304,3971355.69,1706,26786
말미사거리,3977,905411.71,387,7309
말우물 어린이 공원,1054,3883861.42,2088,42071
망우동 본죽 앞,4835,10101143.47,4616,84896
망우역 1번출구,1405,7611100.67,5038,73639
망우역 2번 출구,4820,12784150.52,7980,113568
망우지구대,4813,13060042.24,7081,120232
망원2빗물펌프장 앞,182,13462152.85,3138,106822
망원역 1번출구 앞,102,9499694.54,3540,102991
망원역 2번출구 앞,103,10273131.91,3633,107610
망원정 앞,4216,10440470.6,3666,96394
망원초록길 입구,181,14183236.2,2845,107905
매봉역 1번출구,4918,9400306.48,4439,88641
매헌역 2번출구앞광역버스 정류장앞(22-297),4303,12795911.13,5746,112184
맥도날드 서울둔촌DT점 앞,3664,11774546.12,5612,109193
맥스타일 앞,346,10327836.6,4066,91498
먹골역 1번출구 뒤,1407,11702217.74,6163,103417
먹골역 4번출구,1469,10756375.34,5113,97188
먹골역 6번출구 앞,1408,12930237.67,5867,118888
먹골역 7번 출구,1468,11681355.61,4886,100029
메뚜기다리,924,2074070.25,961,16284
메이필드호텔앞,5076,10755273.31,4713,85491
멤피스아파트 앞,2531,12816818.209999999,5565,112434
면목 대원칸타빌아파트,1410,4740795.93,1886,40797
면목 홈플러스 2,1479,11013464.13,3056,83084
면목2동 사거리,1440,14349238.17,6488,123508
면목4치안센터,1444,15578398.08,4639,118996
면목도시개발아파트 1동 앞,1426,7901246.56,3045,60940
면목동 새싹어린이공원 앞,4819,13004472.48,5818,109490
면목라온프라이빗 아파트,4842,11944684.82,4036,91726
면목삼익아파트 앞,1477,6629056.96,1546,49531
면목역 3번출구,1447,14040568.05,6053,127049
명덕고교,2731,8714782.13,6245,75406
명덕고교입구(영종빌딩),1125,9678588.11,4995,87732
명동성당 앞,322,5988455.97,2683,61505
명동역9번 출구,4791,9683464.84,3987,100473
명물길 원형무대 앞,135,6534340.92,2911,61639
명보사거리,428,7514067.28,3702,86361
명일근린공원공동체텃밭,1071,2759237.09,1310,28209
명일동신동아아파트 앞,3661,4598268.29,2407,44314
명일역 3번출구 옆,3698,12875551.65,6776,123702
명일초등학교 옆,3659,4149988.86,1938,37048
명일파출소,1068,8726895.18,4477,86555
명지대학교 도서관,176,15503680.9,4904,126686
명지전문대학교 정문 앞,163,8329618.12,2836,66616
모두의학교,1856,7989181.8,3605,68795
모래내고가차도,195,10874761.61,4719,92809
목4동주민센터 옆,702,9735286.44,5917,89375
목동11단지 아파트,763,10296437.02,7028,96602
목동12단지 아파트,4535,11982162.16,6652,112311
목동13_14단지 사거리,4512,13035612.21,6483,107733
목동1단지아파트 118동 앞,754,10749067.71,6639,94331
목동1단지아파트 상가 앞,755,10475757.39,5161,103365
목동2단지 상가,746,10883767.84,5447,108383
목동3단지 상가,747,11293945.94,6491,120551
목동3단지 시내버스정류장,726,11015171.9,5195,101154
목동5단지아파트 501동,768,12854660.94,5891,113741
목동5단지아파트 534동,793,10106266.31,4820,101686
목동7단지아파트 A상가,4539,8919271.45,4786,91820
목동사거리 버스정류장,1140,12490928.21,5891,117599
목동사거리 부근,701,11773573.09,5793,109252
목동성당 앞,4514,10891371.0,6795,109007
목동신시가지아파트6단지,4527,13423132.39,5850,118155
목동아파트 1422동 1434동 사잇길,797,11903509.92,6175,106692
목동아파트 14단지 B상가 앞,796,11900557.75,6767,112686
목동아파트 613동 앞,4531,8552923.99,4513,81251
목동아파트 703동 앞,771,10007857.43,5398,102679
목동아파트 8단지 상가동 앞,786,10260964.26,6487,105179
목동아파트2단지 222동 앞,4526,11879752.08,6288,107837
목동역 3번 출구,4540,12092298.64,6237,111784
목동역5번출구 교통정보센터 앞,770,12905979.14,5803,109476
목동운동장,748,9405339.13,4056,82784
목동운동장 주경기장,4546,4815344.94,2203,42688
목동주차장,756,15074021.17,6379,133193
목동트라팰리스 웨스턴에비뉴,792,11150604.72,5474,111591
목동현대아파트 후문 앞,4532,13699473.35,5887,117947
목련아파트,5310,7811381.71,5020,72788
목마공원,776,9842600.9,3902,77199
목양전원교회 앞 로터리,3910,4747494.63,1819,42462
목월공원 앞,800,11328078.15,4211,96197
몽마르뜨공원입구,4327,2930997.67,1563,25991
몽촌토성역 1번출구 옆,1268,12011261.97,3952,128637
몽촌토성역 3번 출구,4870,10224370.99,4000,99056
묘곡초등학교,1041,6830316.22,3374,61928
무악재역 4번 출구,3111,6056974.54,1811,45883
무악재역1번 출구,161,5244025.13,1863,41961
묵동 이마트 앞,4812,13469801.02,6676,121821
문래동 주민센터,3206,8584566.03,4841,85544
문래동 하이테크 시티,291,10749621.63,4205,93451
문래동롯데캐슬아파트,4571,11930361.16,5484,99534
문래동자이아파트 앞,236,11264197.39,5507,107601
문래역 4번출구 앞,240,9376928.87,6078,104010
문래현대2차,3205,16440890.6,4943,122714
문배어린이공원 앞,805,9991902.7,5542,93961
문소빌딩,3765,9488286.17,4647,79377
문정 법조단지10,1246,14514221.01,5954,126427
문정 법조단지11,1247,10604493.84,4566,101215
문정 법조단지3,1239,7496918.08,3180,63033
문정 법조단지4,1240,10193378.459999999,4273,85349
문정 법조단지5,1241,8462180.13,3048,70518
문정 법조단지6,1242,2528929.31,927,26816
문정 법조단지7,1243,11849425.72,4515,104535
문정 법조단지8,1244,10784496.43,4792,98150
문정 법조단지9,1245,11397179.84,5073,106048
문정2동 주민센터,1250,3088098.42,1030,23429
문정·가락 대여소 앞,2612,1498583.85,296,10032
문정근린공원2,4478,10608539.4,5640,95226
문정동 근린공원,1265,10064402.4,5032,92055
문정동 글샘 공원,1266,10123928.06,4359,92544
문정법조단지12,4893,10430331.09,4495,84666
문정시영아파트 5동 앞 공원,2627,8606916.7,4157,70308
문정역 1번출구,2628,12445584.77,5756,110118
문정중교 사거리,1288,10550050.47,5416,90008
