대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
가산디지털단지 9번출구 인근,1851,13345814.6,5162,106112
가산롯데아이티캐슬,3984,13075325.96,3467,89768
가산아네스트 오피스텔 앞,1854,8213203.7299999995,4580,63061
가양3동 주민센터,1172,13016196.8,5798,112096
가양5단지아파트,6172,38804.89,22,714
가양나들목,3787,18692293.03,3269,126806
가양레포츠센터 앞,1121,15511955.17,4967,122010
가양역 1번출구,5080,11827620.54,6558,113280
가양역 7번출구,5082,11166746.41,5903,106142
가양역 8번출구,1158,12509615.64,6536,113750
가양오토갤러리,3775,8867603.23,5383,80251
가양테크노타운,5086,12595036.48,4229,97803
가오리역,1540,11013306.97,6195,115131
가온문화공원,490,9792362.13,5188,90072
가재울 초등학교,166,15120711.87,5763,123193
가재울사거리,3130,11323194.44,4499,98458
가좌삼거리,3121,12789793.32,6286,111432
가좌역 4번출구 앞,179,13661132.98,6970,117276
가좌역1 번출구 앞,155,13007184.14,5533,103465
가좌행복주택 앞,4210,12889580.08,5264,104263
갈산문화예술센터,4541,14534251.19,6504,114757
갈현1동 주민센터,4676,6532076.62,3134,52087
갑을그레이트밸리 앞,1812,7089994.63,4092,65590
강남 을지병원 교차로,2363,7533800.5,2512,65975
강남경찰서,4905,13260450.78,2999,100054
강남구 도시관리공단,2388,7634025.53,3135,60660
강남구청,2356,11113864.82,3474,89888
강남구청역 2번출구 뒤,2353,9167521.31,3631,82664
강남세브란스교차로  래미안그레이튼 104동 앞,2336,6241416.46,3044,55149
강남중학교 앞,2085,12459653.17,6294,112930
강남파이낸스센터앞(역삼역2번출구),2430,8551867.26,3895,81019
강남한신휴플러스 6단지,2426,7014217.81,3919,54681
강남한양수자인아파트,2408,10712524.76,5273,96739
강동경찰서,1020,10247065.15,5561,97238
강동경희대학교병원 입구,1069,6407333.76,3116,56849
강동구음식물재활용센터,3677,1229070.6099999999,205,8551
강동구청 앞,1024,11194646.91,5182,105288
강동구청역 1번 출입구,1013,9755194.86,6196,117351
강동농협 버스정류소 앞(광채빌라),4951,9710962.39,4612,86164
강동롯데캐슬퍼스트 아파트(관리동),1063,9201601.42,3849,76096
강동리버스트4단지아파트 404동 앞,3653,7425134.57,2389,67152
강동리버스트4단지아파트 405동 앞,3654,3822738.0100000002,1494,41159
강동리버스트6단지,3673,6830208.41,2875,69334
강동리버스트7단지,3674,7039706.74,2688,59754
강동리버스트8단지,3675,8965736.09,3674,84442
강동리엔파크 13단지(1303동 앞),3694,6573388.87,3991,57788
강동리엔파크14단지(1401동 앞),3685,8589855.62,4130,75941
강동리엔파크9단지,3676,7007456.89,3432,61340
강동세무서,1010,10913134.16,5261,108063
강동역 1번출구 앞,1077,10161516.0,4839,95180
강동역3번출구,3680,10087791.07,5395,104413
강변그대가리버뷰 입구 맞은편,3700,14278501.39,3898,129674
강변삼성래미안,3215,11088399.03,5232,100915
강변삼성스위트아파트 앞,830,6010192.24,2286,41863
강변아파트 310동 앞,2709,14473517.21,3791,118589
강변역 4번출구 뒤,542,16864079.26,4858,132005
강북 청소년 문화정보도서관 앞,3725,5156161.97,2398,56095
강북구청 뒷편,1513,5058278.17,2193,49390
강북구청 사거리 버스정류소 앞,1514,11018528.02,4742,93774
강북구청사거리,1552,11813782.3,5480,111143
강북구청사거리(수유역 8번출구),1503,10959483.64,4940,108344
강북문화예술회관,1506,10696190.11,5366,104383
강북문화정보도서관,1558,6774627.87,2347,58232
강북종합시장 앞,1526,9792503.86,4898,95655
강북중학교 앞,1512,13862736.97,3763,106880
강서공업고등학교 앞,2706,12497003.69,6040,99814
강서구립등빛도서관,1166,10013376.06,5163,91876
강서구민올림픽체육센터,2742,8002803.02,4720,82611
강서구보건소,1170,10749184.0,5369,96012
강서구의회,1135,13460956.47,6550,115684
강서구청,1157,12958893.91,5386,106421
강서구청사거리(SH타워),1173,13175829.95,7306,116875
강서구청사거리(부민병원),1174,10607911.74,6312,93137
강서도로사업소,5100,2336068.97,987,19168
강서면허시험장 앞,1161,5260570.09,3146,46550
강서문화센터,3766,2766915.65,2091,28059
강서세무서 앞,2744,11615140.34,10914,104086
강서수도사업소민원센터,1958,10435846.82,4462,90392
강서수산물도매시장,1187,9801324.93,6000,76167
강서아동복지센터,3781,3593869.88,947,29113
강서우체국,5084,9931838.06,5559,95574
강서초등학교,745,6854866.0200000005,4171,64254
강서한강자이타워 앞,2708,13269398.62,6118,119366
강서힐스테이트 상가 앞,3786,12382489.27,6789,118654
강월초교입구 사거리,712,10377364.59,4740,84574
강일 다솜 어린이 공원,1038,4253489.84,1842,51237
강일동 리슈빌 빌딩앞,1021,14077232.77,6628,124957
강일동입구교차로,1079,5421845.13,2238,48329
강일리버파크 10단지,1049,9550745.44,4230,90901
강일리버파크 2~5단지,1042,8880141.22,3579,81362
강일리버파크 6단지,1037,4813269.44,1868,40833
강일리버파크 7~11단지,1056,5673599.71,2255,56150
강일역 3번출구,3689,6965411.61,5195,57902
강일역 4번출구,3690,4517054.79,2349,46017
"강일중,선사고 버스정류장(신암중학교 방면)",1051,15559686.709999999,5763,132260
개롱역 3번 출구 뒤,4872,12328108.51,5571,112098
개롱역사거리 2번 출구,4873,14309365.32,6420,121244
개봉센트레빌레우스아파트 앞,3932,3609630.9,1372,27669
개봉아이파크아파트 앞,1987,19563750.82,4473,136836
개봉역 1번 출구 자전거보관서쪽,1936,13112225.29,5038,99830
개봉역2번출구 A,1931,12081374.43,7212,106175
개봉역2번출구 B,3920,6292173.8,2758,50187
개봉지구대 개봉치안센터,1930,9211287.66,4987,77927
개봉푸르지오아파트 상가,1933,15553610.11,6737,121925
개포1단지아파트 입구 (보도육교),2395,584063.47,297,5155
개포고등학교 정문앞,2427,7871277.6,3223,67428
개포동역 4번출구,3651,16496421.03,5132,132121
개포동역 사거리,2373,12424955.02,4025,99948
개포래미안포레스트아파트 107동 앞,2394,9890116.31,4595,80568
개포우성6차아파트 정문 앞,3630,5672234.59,2520,52045
개화광역환승센터,1200,6192572.18,1986,54303
개화산역 2번 출구,1178,10687615.59,5356,94735
거여5단지 503동 앞,4855,8489988.2,3803,73830
거여동 사거리,2616,6194792.95,2568,50388
거여동 어울림아파트  102동앞,4469,7778246.55,4046,58154
거여동사거리 송파둘레길 입구,4881,3066838.89,1382,24444
거여역 3번출구,1204,15396893.92,6160,130044
거여역 8번출구 뒤,1227,13710337.68,6457,107051
거여초등학교 옆,1275,9072254.36,3495,75161
건국대학교 (입학정보관),590,7112934.45,4413,79621
건국대학교 (행정관),591,2944696.46,2131,35244
건국대학교 과학관(이과대) 앞,3523,4353749.59,2882,45207
건국대학교 정문 앞,3860,7665966.91,4537,73269
건국대학교 학생회관,592,9090776.33,5497,97812
건대병원후문,3569,11936416.89,6390,116426
건대입구역 5번출구 뒤,3534,11237040.81,4677,110655
건대입구역 사거리(롯데백화점),3533,10080075.5,4369,101383
건영상가 앞,5871,4928784.06,2784,49091
건영아파트 앞,3549,10120108.17,5320,90274
건영아파트앞 사거리,4465,13005203.51,5735,116311
겸재교 진입부,1452,15104832.39,3741,116928
겸재정선미술관,3782,13609446.22,5048,95162
경기여자고등학교 후문 (삼성로3길 입구),2389,11903584.2,4662,95860
경문고등학교 앞,2095,10839124.67,3886,91417
경복궁역 4번출구 뒤,302,11222453.87,5089,118103
경복궁역 7번출구 앞,301,11519962.85,5388,110716
경서농협 버스정류장(우리은행신정동지점방향),722,12097487.86,6373,111565
경일중학교 앞,582,10456828.45,4234,101491
"경찰병원역 1,2번 출구 사이",2626,9435600.51,4358,84932
경찰병원역 3번출구 앞,2651,12479125.26,5399,102106
경창시장,4544,11282231.86,5182,98208
경희궁 자이 2단지,395,11618422.64,5715,96563
경희궁 자이 3단지,394,9362681.24,4762,80698
경희대학교 청운관,661,12653205.73,3614,94549
계남공원 입구 주출입구 좌측,724,3095018.69,1460,26799
고대구로병원 앞,3935,8914526.4,4151,80445
고대앞사거리 교통섬,674,11071984.64,4117,94657
고덕 래미안 힐스테이트(101동),3686,7405644.34,3401,65000
고덕 래미안힐스테이트(201동),1089,2661879.89,1070,20204
고덕동 래미안 힐스테이트,1034,5666574.07,2317,47228
고덕동 아남아파트,1033,13345052.07,6531,110772
고덕동 주양쇼핑,1036,10571038.54,5462,102239
고덕센트럴 아이파크상가 앞,3665,7901376.7700000005,4106,79138
고덕숲 아이파크 1,1058,3791461.6,1709,32418
고덕숲 아이파크 2,1062,2713971.6,1658,24134
고덕역 4번출구,1035,453674.65,257,4327
고덕역 5번출구,1072,12539518.709999999,6790,134525
고덕자이(105동 앞),3684,14023865.88,5626,137055
고덕중학교 후문,3672,2095639.28,1071,18820
고덕초등학교,1039,2261113.34,1436,19220
고려대학교 2번출구,1354,11560884.49,5357,109067
고려사대부속중고 건너편,1316,4798170.24,1973,40028
고려사대부속중고 정문,1315,5132968.04,1830,44714
고속터미널역 3번출구,4316,9718694.68,3913,92198
고속터미널역 5번출구 앞,2213,14050979.97,4852,115149
